ESTUDANTE,QTD_ACERTOS_EXATAS_1,ACERTOS_CN_EXATAS_1,ACERTOS_MT_EXATAS_1,QTD_ACERTOS_EXATAS_2,ACERTOS_CN_EXATAS_2,ACERTOS_MT_EXATAS_2
Fernanda Oliveira Ferreira,38.0,14.0,24.0,6,0,6
Renato Costa Santos,22.0,12.0,10.0,18,10,8
Jéssica Fernandes Costa,29.0,13.0,16.0,16,9,7
Diego da Silva Souza,22.0,9.0,13.0,23,14,9
Lucas Nunes Almeida,35.0,20.0,15.0,13,6,7
Thiago Oliveira Santos,20.0,13.0,7.0,17,11,6
Felipe Alves Lima,21.0,13.0,8.0,15,8,7
Larissa Nunes Gomes,46.0,24.0,22.0,21,10,11
Jéssica Oliveira Almeida,22.0,16.0,6.0,21,11,10
Maria Luiza da Silva,20.0,12.0,8.0,22,13,9
Juliana Oliveira Santos,19.0,12.0,7.0,20,11,9
Amanda Santos Oliveira,24.0,14.0,10.0,23,13,10
Carolina Lima Rodrigues,17.0,6.0,11.0,37,15,22
Renato Pereira Ferreira,19.0,8.0,11.0,17,7,10
Thiago Santos Oliveira,21.0,11.0,10.0,13,13,0
Mariana Oliveira Silva,20.0,10.0,10.0,28,17,11
Isabela Costa Almeida,15.0,13.0,2.0,17,8,9
Carolina Costa Oliveira,22.0,11.0,11.0,22,11,11
Larissa Silva Costa,23.0,11.0,12.0,21,10,11
Juliana Cristina Almeida,21.0,12.0,9.0,22,15,7
Rafael Oliveira Almeida,21.0,13.0,8.0,24,9,15
João Pedro Santos,25.0,17.0,8.0,20,11,9
Lucas Gabriel Costa,14.0,8.0,6.0,22,8,14
Isabela Cristina Martins,25.0,18.0,7.0,22,14,8
Pedro Henrique Santos Silva,11.0,11.0,0.0,26,14,12
Ana Clara Oliveira,28.0,15.0,13.0,28,12,16
André Santos Almeida,23.0,14.0,9.0,22,11,11
Felipe Almeida Rocha,50.0,26.0,24.0,19,11,8
Pedro Henrique Oliveira,26.0,15.0,11.0,47,28,19
Marcos Oliveira Lima,61.0,30.0,31.0,34,19,15
Bruna Almeida Costa,20.0,16.0,4.0,50,31,19
Amanda Silva Cardoso,14.0,8.0,6.0,22,17,5
Renan Almeida Lima,23.0,14.0,9.0,17,7,10
Matheus Oliveira Rodrigues,32.0,22.0,10.0,21,13,8
Eduardo Almeida Costa,21.0,10.0,11.0,17,16,1
Amanda Almeida Lima,33.0,20.0,13.0,23,10,13
Leonardo Santos Oliveira,17.0,7.0,10.0,27,16,11
Letícia Gonçalves Carvalho,22.0,14.0,8.0,26,14,12
Camila Almeida Rodrigues,29.0,18.0,11.0,22,15,7
Eduardo Alves Nunes,33.0,22.0,11.0,5,4,1
André Luiz Ramos,28.0,12.0,16.0,40,17,23
Larissa Oliveira Santos,26.0,18.0,8.0,22,11,11
Marcelo Santos Castro,26.0,16.0,10.0,41,21,20
Bruno Costa Almeida,41.0,23.0,18.0,25,14,11
Bruno Santos Pereira,25.0,19.0,6.0,22,10,12
Bruno Oliveira Rodrigues,18.0,10.0,8.0,22,15,7
Lucas Costa Almeida,24.0,13.0,11.0,20,14,6
Vitória Carvalho Mendes,23.0,15.0,8.0,28,13,15
Laura Costa Barbosa,22.0,16.0,6.0,14,8,6
Mariana Alves Lima,26.0,14.0,12.0,23,13,10
Gabriel Santos Oliveira,44.0,23.0,21.0,15,2,13
Camila Fernandes Rodrigues,15.0,7.0,8.0,12,12,0
Beatriz Alves Lima,36.0,18.0,18.0,22,10,12
Gabriel Ribeiro Gonçalves,14.0,7.0,7.0,25,14,11
Letícia Alves Lima,25.0,14.0,11.0,26,14,12
Guilherme Lima Costa,20.0,12.0,8.0,26,12,14
Marcos Vinicius Pereira,14.0,14.0,0.0,23,13,10
Rafaela Oliveira Lima,30.0,18.0,12.0,20,12,8
Isabela Santos Oliveira,24.0,14.0,10.0,16,5,11
Marina Alves Silva,23.0,17.0,6.0,26,13,13
Vitória Santos Alves,17.0,10.0,7.0,29,15,14
Rafaela Almeida Santos,19.0,12.0,7.0,23,8,15
Gabriela Lima Rodrigues,20.0,12.0,8.0,16,9,7
Gustavo Costa Pereira,22.0,11.0,11.0,10,10,0
Mariana Costa Alves,15.0,7.0,8.0,26,13,13
