ESTUDANTE,TURMA,SEMANA,PRESENCA,FALTAS,ATRASOS15,ATRASOS30
Renan Almeida Lima,B,1,10,2,0,0
Renan Almeida Lima,B,2,10,0,0,0
Renan Almeida Lima,B,3,2,9,0,0
Juliana Oliveira Santos,B,1,4,7,1,0
Juliana Oliveira Santos,B,2,2,5,1,2
Juliana Oliveira Santos,B,3,1,10,0,0
Isabela Costa Almeida,B,1,6,5,1,0
Isabela Costa Almeida,B,2,6,3,0,1
Isabela Costa Almeida,B,3,0,11,0,0
Renato Almeida Lima,B,1,4,5,3,0
Renato Almeida Lima,B,2,4,5,1,0
Renato Almeida Lima,B,3,0,11,0,0
Fernanda Alves Oliveira,B,1,2,10,0,0
Fernanda Alves Oliveira,B,2,0,9,1,0
Fernanda Alves Oliveira,B,3,11,0,0,0
Marina Santos Oliveira,B,1,0,11,1,0
Marina Santos Oliveira,B,2,0,10,0,0
Marina Santos Oliveira,B,3,1,10,0,0
Camila Almeida Rodrigues,B,1,0,11,0,1
Camila Almeida Rodrigues,B,2,1,8,1,0
Camila Almeida Rodrigues,B,3,1,9,0,1
Felipe Alves Lima,B,1,2,10,0,0
Felipe Alves Lima,B,2,2,8,0,0
Felipe Alves Lima,B,3,2,8,1,0
Gabriela Lima Rodrigues,B,1,2,10,0,0
Gabriela Lima Rodrigues,B,2,10,0,0,0
Gabriela Lima Rodrigues,B,3,10,0,0,1
Guilherme Lima Costa,B,1,9,3,0,0
Guilherme Lima Costa,B,2,6,2,2,0
Guilherme Lima Costa,B,3,3,7,1,0
Gustavo Santos Oliveira,B,1,-1,-1,-1,-1
Gustavo Santos Oliveira,B,2,-1,-1,-1,-1
Gustavo Santos Oliveira,B,3,2,6,1,2
Matheus Lima Almeida,B,1,-1,-1,-1,-1
Matheus Lima Almeida,B,2,-1,-1,-1,-1
Matheus Lima Almeida,B,3,6,5,0,0
Thiago Lima Oliveira,B,1,0,11,0,1
Thiago Lima Oliveira,B,2,3,5,1,1
Thiago Lima Oliveira,B,3,5,5,0,1
Lucas Lima Santos,B,1,0,8,3,1
Lucas Lima Santos,B,2,0,8,1,1
Lucas Lima Santos,B,3,2,4,3,2
André Santos Almeida,B,1,2,9,0,1
André Santos Almeida,B,2,3,6,0,1
André Santos Almeida,B,3,1,7,1,2
André Lima Oliveira,B,1,3,8,0,1
André Lima Oliveira,B,2,4,6,0,0
André Lima Oliveira,B,3,4,5,2,0
Bianca Alves Silva,B,1,2,10,0,0
Bianca Alves Silva,B,2,4,6,0,0
Bianca Alves Silva,B,3,2,9,0,0
Matheus Oliveira Rodrigues,B,1,0,10,2,0
Matheus Oliveira Rodrigues,B,2,0,10,0,0
Matheus Oliveira Rodrigues,B,3,3,7,0,0
Beatriz Alves Lima,B,1,9,2,0,1
Beatriz Alves Lima,B,2,7,2,0,1
Beatriz Alves Lima,B,3,2,9,0,0
Rafaela Alves Oliveira,B,1,0,10,2,0
Rafaela Alves Oliveira,B,2,6,3,0,1
Rafaela Alves Oliveira,B,3,3,8,0,0
Gustavo Almeida Santos,B,1,1,11,0,0
Gustavo Almeida Santos,B,2,2,5,3,0
Gustavo Almeida Santos,B,3,0,11,0,0
Bruna Almeida Costa,B,1,0,12,0,0
Bruna Almeida Costa,B,2,0,10,0,0
Bruna Almeida Costa,B,3,1,10,0,0
Gabriela Alves Santos,B,1,0,9,0,3
Gabriela Alves Santos,B,2,1,7,0,2
Gabriela Alves Santos,B,3,2,7,1,1
Rafael Silva Lima,B,1,4,7,1,0
Rafael Silva Lima,B,2,5,5,0,0
Rafael Silva Lima,B,3,2,7,0,0
Larissa Oliveira Santos,B,1,2,9,1,0
Larissa Oliveira Santos,B,2,2,8,0,0
Larissa Oliveira Santos,B,3,4,7,0,0
Mariana Oliveira Silva,B,1,6,5,1,0
Mariana Oliveira Silva,B,2,4,6,0,0
Mariana Oliveira Silva,B,3,2,9,0,0
Natália Almeida Silva,B,1,12,0,0,0
Natália Almeida Silva,B,2,10,0,0,0
Natália Almeida Silva,B,3,4,7,0,0
Rafaela Almeida Santos,B,1,3,8,0,1
Rafaela Almeida Santos,B,2,3,5,1,1
Rafaela Almeida Santos,B,3,2,7,1,1
Felipe Lima Alves,B,1,3,8,1,0
Felipe Lima Alves,B,2,1,8,1,0
Felipe Lima Alves,B,3,1,9,1,0
Eduardo Almeida Costa,B,1,3,8,0,1
Eduardo Almeida Costa,B,2,4,6,0,0
Eduardo Almeida Costa,B,3,0,7,4,0
Gustavo Oliveira Lima,B,1,12,0,0,0
Gustavo Oliveira Lima,B,2,10,0,0,0
Gustavo Oliveira Lima,B,3,0,9,1,1
Larissa Santos Alves,B,1,2,9,1,0
Larissa Santos Alves,B,2,0,10,0,0
Larissa Santos Alves,B,3,1,10,0,0
Gabriel Oliveira Lima,B,1,2,7,2,1
Gabriel Oliveira Lima,B,2,1,9,0,0
Gabriel Oliveira Lima,B,3,2,5,2,2
Gabriela Lima Alves,B,1,2,9,1,0
